"#";"RefDes";"Value";"Name";"Quantity"
"1";"+5, +5V, BA0, BA1, BA2, BA3, BA4, BA5, BA6, BA7, G, GND, KJ0, KJ1, KJ2, KJ3, KJ4, KL0, KL1, KL2, KL3, KL4, NMI, RES, TCK, TDI, TDO, TMS, U+5, U_G, UD+, UD-";"";"Debug";"32"
"2";"C1, C11";"10uF 10V";"TAJA106K010RNJ";"2"
"3";"C2, C3, C4, C5, C6, C7, C8, C9, C12, C14, C15";"0.1 uF 10V";"CAP_0603 0.1 uF 10V";"11"
"4";"C10";"4.7 uF 16V";"CAP_0603";"1"
"5";"C13";"330 ïÔ 3 êÂ";"CAP_1206_A";"1"
"6";"D1";"";"C512A-WNN-CZ0B0151";"1"
"7";"IO2, IO16, IO17, IO20, IO21, IO24, IO25, IO26, IO28, IO29, IO34, IO36, IO39, IO43, PA0, PA1, PA4, PA6, PA7, PA8, PA9, PA10, PA15, PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9, PB11, PB13, PB14, PC6, PC7, PC8, PC9, PC10, PC11, PC12, PC13, PC14, PC15, PD2, PH0, PH1";"";"smd_pin";"48"
"8";"J1";"";"292303-1";"1"
"9";"Q1";"";"BC846ALT1";"1"
"10";"R1, R2, R3";"0";"RES_0603";"3"
"11";"R4, R6, R10";"1k";"RES_0603";"3"
"12";"R5";"100";"RES_0603";"1"
"13";"R7, R9";"10k";"RES_0603";"2"
"14";"R8";"1 ÌÎì";"RES_1206_A";"1"
"15";"U1";"";"STM32L476RGT6";"1"
"16";"U2";"";"EPM7064AELC44-10";"1"
"17";"U3";"";"AMS1117-3.3V";"1"
"18";"VD1";"USBLC6-2SC6";"USBLC6-2SC6";"1"
"19";"X1";"ÑI1110Ì1H";"SM10B-SRSS-TB";"1"
"";"";"";"";"113"
